region,yield0,cows0,milk0,yield1,cows1,milk1,delta_cows,delta_yield,extensive,intensive,interaction,delta_milk,ext_share,int_share,inter_share
Dashkasan district,1281.6232771822358,13060.0,16738.0,2711.2081802839275,10073.0,27310.0,-2987.0,1429.5849031016917,-3828208.7289433386,18670378.834508095,-4270170.105564753,10572000.0,-0.3621082793173796,1.7660214561585403,-0.40391317684116074
Fuzuli district,830.088247653733,7139.0,5926.0,1988.6282871357498,14070.0,27980.0,6931.0,1158.5400394820167,5753341.644488024,8270817.341862117,8029841.013649858,22054000.0,0.260875199260362,0.3750257251229762,0.3640990756166617
Gabala district,939.4728709549247,22651.0,21280.0,2346.145150350441,17692.0,41508.0,-4959.0,1406.6722793955162,-4658845.967065471,31862533.800587837,-6975687.8335223645,20228000.0,-0.23031668810883288,1.5751697548243937,-0.3448530667155608
Gadabay district,823.4733960242828,16802.0,13836.0,2421.202436832118,20026.0,48487.0,3224.0,1597.7290408078352,2654878.228782288,26845043.343653247,5151078.427564461,34651000.0,0.07661765111489677,0.7747263670212475,0.14865598186385562
Gakh district,907.4168508130772,17649.0,16015.0,1510.5568011958146,10704.0,16169.0,-6945.0,603.1399503827374,-6302010.028896821,10644816.984304933,-4188806.955408111,154000.0,-40.922143044784306,69.12218820977188,-27.20004516498757
Ganja city,1066.3615560640733,437.0,466.0,2371.134020618557,291.0,690.0,-146.0,1304.7724645544836,-155688.7871853547,570185.5670103093,-190496.7798249546,224000.0,-0.6950392285060479,2.545471281296024,-0.850432052789976
Gazakh district,1300.1988071570577,12072.0,15696.0,1983.617832801851,15993.0,31724.0,3921.0,683.4190256447932,5098079.522862823,8250234.477583944,2679685.9995532343,16028000.0,0.31807334183072267,0.5147388618407751,0.16718779632850225
Gobustan district,1055.240793201133,9178.0,9685.0,1749.653835502631,10833.0,18954.0,1655.0,694.4130423014979,1746423.5127478752,6373322.902243148,1149253.5850089788,9269000.0,0.18841552624316268,0.6875955229521141,0.12398895080472312
Goranboy district,855.2089464390818,13592.0,11624.0,2496.3503649635036,16988.0,42408.0,3396.0,1641.1414185244216,2904289.582107122,22306394.16058394,5573316.257308936,30784000.0,0.09434412623788728,0.7246099974202164,0.1810458763418963
Goychay district,764.4950050188805,20921.0,15994.0,1127.1640790796382,17906.0,20183.0,-3015.0,362.6690740607577,-2304952.4401319246,7587399.698425111,-1093447.2582931845,4189000.0,-0.5502393029677544,1.811267533641706,-0.2610282306739517
Goygol district,903.4920634920635,6300.0,5692.0,2507.9637096774195,9920.0,24879.0,3620.0,1604.471646185356,3270641.26984127,10108171.370967742,5808187.359190988,19187000.0,0.1704613159869323,0.5268239626292668,0.3027147213838009
Guba district,1134.693720697871,26022.0,29527.0,1729.5658501091439,24738.0,42786.0,-1284.0,594.8721294112729,-1456946.7373760664,15479762.551540144,-763815.8141640744,13259000.0,-0.10988360640893476,1.1674909534308877,-0.05760734702195295
Gubadli district,858.7570621468926,177.0,152.0,1363.8941398865784,1058.0,1443.0,881.0,505.13707773968576,756564.9717514124,89409.26275992439,445025.76548866316,1291000.0,0.5860301872590336,0.06925581933379116,0.3447139934071752
Gusar district,1241.0538263934525,16739.0,20774.0,2020.7653701380175,15940.0,32211.0,-799.0,779.711543744565,-991602.0072883685,13051591.530740274,-622989.5234519074,11437000.0,-0.0867012334780422,1.1411726441147396,-0.054471410636697346
Hajigabul district,973.8780977896852,10451.0,10178.0,1664.9394431264827,16018.0,26669.0,5567.0,691.0613453367976,5421579.370395177,7222282.120114871,3847138.509489952,16491000.0,0.32875989147990886,0.43795295131373907,0.23328715720635207
Imishli district,869.669322544689,24223.0,21066.0,1311.421568627451,40800.0,53506.0,16577.0,441.7522460827621,14416508.359823309,10700564.656862747,7322926.983313947,32440000.0,0.4444053131881414,0.3298571102608738,0.22573757655098478
Ismayilli district,914.9804359977641,17890.0,16369.0,2201.5225079422166,16683.0,36728.0,-1207.0,1286.5420719444526,-1104381.3862493013,23016237.667086255,-1552856.2808369542,20359000.0,-0.05424536501052612,1.1305190661175035,-0.07627370110697747
Jabrayil district,814.9122807017544,3420.0,2787.0,2084.484711211778,4415.0,9203.0,995.0,1269.5724305100239,810837.7192982456,4341937.712344281,1263224.5683574737,6416000.0,0.1263774500153126,0.6767359277344578,0.19688662225022968
Jalilabad district,1111.3168945838268,46435.0,51604.0,1474.9049038758096,48635.0,71732.0,2200.0,363.58800929198287,2444897.168084419,16883209.211473223,799893.6204423623,20128000.0,0.12146746661786657,0.8387921905541147,0.03974034282801878
Julfa district,1445.1435312622887,5086.0,7350.0,2146.541617819461,3412.0,7324.0,-1674.0,701.3980865571723,-2419170.2713330714,3567310.6682297783,-1174140.3968967064,-26000.0,93.04501043588903,-137.20425647037854,45.15924603448952
Kalbajar district,871.8700053276505,3754.0,3273.0,1412.298700491202,16083.0,22714.0,12329.0,540.4286951635515,10749285.295684602,2028769.3216439725,6662945.382671427,19441000.0,0.5529183321683351,0.10435519374743957,0.34272647408422546
Khachmaz district,1163.289370250677,22898.0,26637.0,3576.180715688786,23418.0,83747.0,520.0,2412.891345438109,604910.472530352,55250386.02784182,1254703.4996278167,57110000.0,0.010592023682898829,0.9674380323558367,0.021969943961264525
Khizi district,1032.6114649681529,3925.0,4053.0,1720.235178833905,4082.0,7022.0,157.0,687.623713865752,162120.0,2698923.076923077,107956.92307692308,2969000.0,0.05460424385314921,0.9090343809104334,0.03636137523641734
Khojaly district,894.1548183254345,633.0,566.0,694.590713259933,2089.0,1451.0,1456.0,-199.5641050655015,1301889.4154818326,-126324.07850646245,-290565.3369753702,885000.0,1.4710614864201499,-0.14273907175871464,-0.3283224146614353
Khojavand district,898.4732824427481,1310.0,1177.0,2095.719844357977,1285.0,2693.0,-25.0,1197.2465619152288,-22461.8320610687,1568392.9961089497,-29931.16404788072,1516000.0,-0.014816511913633704,1.0345600238185682,-0.019743511904934508
Kurdamir district,830.3927148548662,24598.0,20426.0,1740.4779145546706,27620.0,48072.0,3022.0,910.0851996998044,2509446.7842914057,22386275.74221579,2750277.473492809,27646000.0,0.09077070043736546,0.8097473682346736,0.09948193132796096
Lachin district,800.954605463593,9847.0,7887.0,1258.3266506281743,18705.0,23537.0,8858.0,457.3720451645813,7094855.895196507,4503742.528735632,4051401.576067861,15650000.0,0.4533454246131953,0.2877790753185707,0.25887550006823395
Lankaran district,1230.3737974590586,13617.0,16754.0,1461.0676774855879,25326.0,37003.0,11709.0,230.6938800265293,14406446.794448117,3141358.5643212497,2701194.6412306316,20249000.0,0.7114646053853583,0.15513647905186678,0.13339891556277506
Lerik district,828.4496886266797,15255.0,12638.0,1802.0414114902303,17145.0,30896.0,1890.0,973.5917228635506,1565769.9115044246,14852141.732283464,1840088.3562121105,18258000.0,0.08575801903299511,0.8134594003879649,0.1007825805790399
Masalli district,1232.8077976912366,22263.0,27446.0,1358.8096134200764,37198.0,50545.0,14935.0,126.0018157288398,18411984.458518617,2805178.4235711605,1881837.1179102224,23099000.0,0.7970901103302575,0.12144155260276032,0.08146833706698223
Mingachevir city,580.056179775281,712.0,413.0,1433.2939787485243,847.0,1214.0,135.0,853.2377989732433,78307.58426966293,607505.3128689493,115187.10286138784,801000.0,0.09776227749021588,0.7584335990873273,0.14380412342245671
Nakhchivan city,2183.0985915492956,284.0,620.0,819.1018342821,1581.0,1295.0,1297.0,-1363.9967572671958,2831478.8732394367,-387375.07906388363,-1769103.794175553,675000.0,4.194783515910275,-0.5738890060205681,-2.620894509889707
Neftchala district,1234.552008238929,15536.0,19180.0,1465.2725287645922,23814.0,34894.0,8278.0,230.72052052566323,10219621.524201853,3584474.006886704,1909904.4689114403,15714000.0,0.6503513761105928,0.22810703874804025,0.12154158514136697
Oghuz district,929.9237767396115,12201.0,11346.0,1432.1691366981033,9649.0,13819.0,-2552.0,502.2453599584918,-2373165.478239489,6127895.636853559,-1281730.158614071,2473000.0,-0.9596301974280185,2.4779197884567576,-0.5182895910287391
Ordubad district,1422.2386405615073,2707.0,3850.0,1472.4983432736913,3018.0,4444.0,311.0,50.25970271218398,442316.21721462876,136053.01524188204,15630.767543489217,594000.0,0.7446400963209239,0.2290454802051886,0.02631442347388757
Saatli district,1104.7819284177588,20452.0,22595.0,1259.45182424716,33274.0,41907.0,12822.0,154.66989582940118,14165513.886172503,3163308.709502913,1983177.404324582,19312000.0,0.7335083826725612,0.16380016101402822,0.10269145631341042
Sabirabad district,1295.2272373944136,38594.0,49988.0,2000.5530973451328,63280.0,126595.0,24686.0,705.3258599507192,31973979.582318492,27221346.238938056,17411674.17874345,76607000.0,0.41737673557662475,0.35533758323571024,0.22728568118766498
Sadarak district,1542.5531914893618,940.0,1450.0,1133.2842415316643,1358.0,1539.0,418.0,-409.2689499576975,644787.2340425532,-384712.81296023563,-171074.42108231754,89000.0,7.2448003825005935,-4.322615875957701,-1.9221845065428924
Salyan district,1234.2393279754453,24761.0,30561.0,1534.1577439300256,33155.0,50865.0,8394.0,299.91841595458027,10360204.919025889,7426279.897451362,2517515.183522747,20304000.0,0.5102543793846479,0.3657545260762098,0.12399109453914241
Samukh district,1191.4414414414414,7104.0,8464.0,3005.6174765938476,11215.0,33708.0,4111.0,1814.1760351524063,4898015.765765766,12887906.553722695,7458077.680511542,25244000.0,0.1940269278151547,0.5105334556220367,0.29543961656280865
Shabran district,996.1715160796325,10448.0,10408.0,1347.2445157838417,11214.0,15108.0,766.0,351.0729997042092,763067.3813169985,3668010.700909578,268921.91777342424,4700000.0,0.16235476198234008,0.7804278087041653,0.05721742931349451
Shahbuz district,1425.737117663268,7258.0,10348.0,2518.9027201475333,4338.0,10927.0,-2920.0,1093.1656024842653,-4163152.3835767424,7934195.942830797,-3192043.5592540544,579000.0,-7.190245912913193,13.703274512661125,-5.513028599747931
Shaki district,1119.8425133582418,24891.0,27874.0,1928.5507456203852,27628.0,53282.0,2737.0,808.7082322621434,3065008.959061508,20129556.60923701,2213434.4317014865,25408000.0,0.12063164983711853,0.7922527003005749,0.0871156498623066
Shamakhi district,1219.958521410272,16394.0,20000.0,3659.3414779499403,13424.0,49123.0,-2970.0,2439.382956539668,-3623276.8085885076,39991244.18951132,-7244967.380922815,29123000.0,-0.12441289731787616,1.3731842251660653,-0.24877132784818923
Shamkir district,1205.5310760667903,17248.0,20793.0,2017.1064281919603,28235.0,56953.0,10987.0,811.57535212517,13245169.932745825,13998051.673454931,8916778.393799242,36160000.0,0.36629341628168766,0.38711426088094386,0.2465923228373684
Sharur district,1020.7929325576384,18564.0,18950.0,1850.889431461458,11468.0,21226.0,-7096.0,830.0964989038195,-7243546.649429003,15409911.405650504,-5890364.756221503,2276000.0,-3.182577613984626,6.770611338159278,-2.588033724174652
Shirvan city,1042.1686746987953,664.0,692.0,2239.202657807309,903.0,2022.0,239.0,1197.033983108514,249078.31325301208,794830.5647840532,286091.12196293485,1330000.0,0.18727692725790382,0.5976169660030476,0.21510610673904876
Shusha district,892.6829268292682,820.0,732.0,813.4715025906736,2509.0,2041.0,1689.0,-79.21142423859465,1507741.463414634,-64953.36787564761,-133788.09553898635,1309000.0,1.151826939201401,-0.04962060189125103,-0.10220633731014998
Siyazan district,1261.6201859229748,4518.0,5700.0,2196.695010428365,6233.0,13692.0,1715.0,935.0748245053903,2163678.6188579015,4224668.057115354,1603653.3240267443,7992000.0,0.2707305579151528,0.5286121192586779,0.20065732282616922
Sumgayit city,660.377358490566,424.0,280.0,2061.3382899628255,1614.0,3327.0,1190.0,1400.9609314722593,785849.0566037736,594007.4349442379,1667143.5084519885,3047000.0,0.25790910948597756,0.19494828846217194,0.5471426020518505
Tartar district,854.9760821374402,8571.0,7328.0,1826.4396375328852,13684.0,24993.0,5113.0,971.4635553954449,4371492.707968732,8326414.133294359,4967093.15873691,17665000.0,0.2474663293500556,0.47135092744377916,0.28118274320616526
Tovuz district,1270.6339298099597,14418.0,18320.0,2498.3980776932317,14982.0,37431.0,564.0,1227.764147883272,716637.5364128173,17701903.484181017,692458.9794061654,19111000.0,0.03749869375819252,0.9262677768918955,0.03623352934991185
Ujar district,902.0950350539133,24391.0,22003.0,2309.6431621551374,26931.0,62201.0,2540.0,1407.548127101224,2291321.38903694,34331506.36812595,3575172.242837109,40198000.0,0.05700088036810139,0.8540600618967599,0.08893905773513879
Yardimli district,991.2289648138704,9805.0,9719.0,2077.0389336546427,13279.0,27581.0,3474.0,1085.8099688407724,3443529.423763386,10646366.744483773,3772103.831752843,17862000.0,0.1927852101535878,0.5960344163298494,0.21118037351656266
Yevlakh district,1210.4293699186992,31488.0,38114.0,1153.2791817087846,33240.0,38335.0,1752.0,-57.15018820991463,2120672.256097561,-1799545.126353792,-100127.12974377043,221000.0,9.595802063789918,-8.142738128297744,-0.4530639354921762
Zagatala district,1117.671330507521,26659.0,29796.0,1644.730514556283,27033.0,44462.0,374.0,527.0591840487621,418009.07760981284,14050870.787555948,197120.13483423702,14666000.0,0.028501914469508585,0.9580574653999693,0.013440620130522095
Zangilan district,1000.0,11.0,11.0,117.81540663009778,4193.0,494.0,4182.0,-882.1845933699022,4182000.0,-9704.030527068924,-3689295.969472931,483000.0,8.658385093167702,-0.020091160511529864,-7.638293932656173
Zardab district,873.348753533796,19455.0,16991.0,1467.0337233310393,21795.0,31974.0,2340.0,593.6849697972433,2043636.0832690825,11550141.087405369,1389222.8293255493,14983000.0,0.13639698880525145,0.7708830733101094,0.09271993788463921
